,역명,호선,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,붐비는 시간대
0,동대문,1호선,558.02,599.8,1038.73,1612.1,1440.7,1252.83,1328.87,1415.67,1379.77,1420.35,1425.81,1449.12,1481.9,1530.12,1236.68,914.23,834.79,721.46,461.79,112.14,08-09시간대
1,동묘앞,1호선,150.77,302.37,607.29,1239.22,858.07,798.83,1064.73,1314.52,1657.76,1574.92,1574.31,1511.57,1389.46,1052.97,590.29,382.01,362.12,336.0,191.71,72.94,13-14시간대
2,서울역,1호선,617.25,2244.77,6053.31,12081.51,7896.07,4494.61,4458.52,4911.85,4970.35,4311.06,5278.67,6040.04,9008.2,11932.63,5984.66,4065.6,4012.83,2693.46,1284.35,202.06,08-09시간대
3,시청,1호선,266.13,1015.52,3226.61,8970.75,4146.9,1972.86,2006.69,1891.03,2062.31,2090.48,2386.93,2630.87,4307.15,7706.3,2699.19,2137.18,2094.9,1389.69,523.04,52.56,08-09시간대
4,신설동,1호선,430.28,690.15,1837.15,3725.92,2028.66,1314.26,1245.28,1248.11,1342.95,1295.62,1427.36,1736.27,2335.33,3293.61,1586.92,1022.75,934.12,739.38,427.2,88.06,08-09시간대
5,제기동,1호선,280.98,640.62,1720.24,3007.21,2091.97,2185.73,2625.43,2876.49,3009.28,2997.01,2981.01,2763.09,2559.17,2602.99,1400.96,871.25,725.08,569.84,324.13,56.74,13-14시간대
6,종각,1호선,303.45,1133.5,4755.65,11780.56,6617.12,2995.08,2953.83,2777.45,3108.76,3189.23,3545.41,3938.25,7230.6,11037.33,4468.71,3356.67,3593.76,2708.91,1256.76,84.69,08-09시간대
7,종로3가,1호선,247.66,626.35,1245.9,3377.49,3174.75,2828.1,3273.57,3587.07,3738.14,3722.33,3784.46,3853.56,4394.33,5402.62,2846.84,1988.54,2083.45,1609.99,762.87,138.11,18-19시간대
8,종로5가,1호선,220.79,718.51,1981.29,4638.3,2961.12,2722.54,3071.51,3220.81,3305.19,3501.3,3469.25,3518.64,4333.37,5104.2,2479.68,1557.82,1400.62,961.01,359.89,42.23,18-19시간대
9,청량리(서울시립대입구),1호선,596.73,1414.13,2217.11,3367.41,2310.11,2208.17,2482.12,2628.6,2804.62,2851.95,3027.08,3246.23,3254.03,3380.87,1975.74,1237.92,1092.65,856.65,446.68,135.73,18-19시간대
10,강남,2호선,742.34,2736.37,8201.75,16049.06,14952.0,7575.18,6067.96,6200.0,7259.64,7244.4,8127.12,9245.18,14412.12,20675.14,12654.75,8133.0,8650.84,7984.91,3897.52,944.17,18-19시간대
11,강변(동서울터미널),2호선,409.59,1839.02,4261.78,6640.5,4501.0,3404.75,2851.04,2867.26,2892.4,2899.12,3330.52,3697.22,4693.44,6507.97,4386.33,2949.83,2489.9,2125.69,1081.46,299.25,08-09시간대
12,건대입구,2호선,621.42,1439.7,3254.34,6617.01,4422.02,2774.47,2648.4,2978.73,3244.85,3258.23,3614.82,4414.22,6079.74,9112.36,6189.53,4270.63,4348.14,4258.38,2603.0,785.99,18-19시간대
13,교대(법원.검찰청),2호선,373.85,1444.91,3497.46,8493.74,7238.18,3853.69,3539.57,3302.98,3744.73,3904.06,4056.91,4291.79,6635.9,9258.08,4532.4,3083.57,3128.62,2687.66,1170.76,288.5,18-19시간대
14,구로디지털단지,2호선,1588.8,2849.88,9547.97,18808.93,10744.24,4508.25,3444.04,3645.91,4026.19,3809.15,4367.76,5426.89,9235.78,16175.18,9781.88,5640.23,5097.92,4590.06,2450.18,717.54,08-09시간대
15,구의(광진구청),2호선,568.51,1673.53,3574.5,6660.45,3686.97,1958.6,1646.12,1737.12,1818.4,1796.96,2140.04,2668.75,3439.29,5589.18,3588.94,2240.15,2106.64,2010.6,1134.18,377.54,08-09시간대
16,낙성대(강감찬),2호선,515.32,1417.76,4398.46,7203.07,4455.76,2422.97,1895.45,2041.85,2073.69,2026.69,2294.4,2757.23,3764.7,6002.88,4580.22,2841.87,2655.32,2529.67,1504.71,463.36,08-09시간대
17,당산,2호선,361.73,1164.61,3216.66,5825.71,2842.18,1531.35,1359.0,1406.77,1466.93,1418.27,1626.64,2067.5,3392.83,5636.21,3041.91,1950.13,1943.05,1767.41,1014.36,275.33,08-09시간대
18,대림(구로구청),2호선,1372.5,1598.86,3719.0,6199.87,3607.84,2179.04,2022.45,2071.31,2117.09,2047.84,2420.93,2859.71,3775.59,4807.34,3072.28,2046.24,2172.93,2012.85,958.42,277.65,08-09시간대
19,도림천,2호선,28.34,84.6,318.67,421.24,175.1,131.04,104.19,155.87,117.05,139.02,152.94,199.37,209.34,290.23,186.08,103.47,90.87,63.36,40.43,17.55,08-09시간대
20,동대문역사문화공원(DDP),2호선,273.8,523.83,1269.9,2700.92,1779.42,1469.93,1525.19,1540.7,1583.36,1732.62,1865.73,2087.58,2510.37,2934.45,1988.35,1383.55,1318.84,1044.58,593.08,220.6,18-19시간대
21,뚝섬,2호선,206.0,938.3,2448.29,7283.35,4692.23,2061.12,1562.18,1644.62,1834.08,1842.42,2081.49,2560.21,3989.48,7293.25,3459.15,2002.26,1862.31,1423.94,676.83,178.97,18-19시간대
22,문래,2호선,240.54,1031.09,3499.89,7788.78,3719.41,1659.11,1429.45,1561.04,1639.63,1575.37,1766.95,2222.81,3710.04,7035.01,3198.74,1777.72,1707.24,1442.28,785.01,227.71,08-09시간대
23,방배,2호선,200.68,815.54,2141.71,4703.27,3219.37,1889.77,1633.06,1684.97,1751.57,1855.23,2004.76,2318.63,3085.4,4431.44,2322.1,1545.4,1469.68,1345.18,627.54,181.04,08-09시간대
24,봉천,2호선,624.65,1358.56,4029.47,6366.64,3659.98,2051.63,1761.84,1855.67,1949.33,1860.53,2209.03,2534.04,3112.86,4727.34,3694.56,2230.85,2010.13,1890.24,1065.38,355.28,08-09시간대
25,사당,2호선,627.08,2118.93,5222.64,7445.83,5010.85,3158.4,3195.28,3355.98,3288.23,3427.79,3930.35,4822.64,7173.49,10679.04,6943.16,4565.98,4630.35,4574.1,2746.73,726.82,18-19시간대
26,삼성(무역센터),2호선,399.04,1906.02,6507.68,15935.05,11137.4,5080.2,4000.49,3964.69,4649.15,4765.52,5324.15,6169.01,10825.83,15472.58,7599.92,4893.83,4335.77,2991.32,1057.68,267.24,08-09시간대
27,상왕십리,2호선,230.31,766.74,2267.67,4271.8,2121.27,1210.47,1049.15,1157.16,1165.98,1152.65,1331.15,1595.11,2216.12,3268.85,2116.12,1299.11,1180.95,1045.4,575.58,202.36,08-09시간대
28,서울대입구(관악구청),2호선,1360.53,2224.38,6684.73,10449.41,7166.68,4277.47,3444.06,3688.81,3987.13,3796.35,4325.69,5039.85,6808.46,10424.1,7827.54,4822.86,4582.24,4476.87,2619.94,872.0,08-09시간대
